id,indexed_date,language,media_name,media_url,publish_date,title,url
d0ef8fe52a522df027f3444c09afc37e8294410ba048284f7c54fff1c6c0b931,2025-09-17 16:25:44.065448+00:00,fr,rfi.fr,rfi.fr,2014-12-03,"Exposition : «Georges Wolinski, 50 ans de dessin» à la BNF",http://www.rfi.fr/emission/20120706-exposition-georges-wolinski-50-ans-dessin-bnf
f96867e525ea936e0f0be663e7f6029e8ee3145a3ff4631398471d842e314d30,2025-09-17 14:49:14.244732+00:00,fr,rfi.fr,rfi.fr,2014-12-03,2. Culture Buissonnière: Georges Wolinski,http://www.rfi.fr/emission/20120803-2-culture-buissonniere-georges-wolinski
86cc35317b19a52f870c61d946c143769e168f25a48ac6678b9ee982895be26a,2025-09-17 14:49:14.203280+00:00,fr,rfi.fr,rfi.fr,2014-12-03,1. Culture Buissonnière: Georges Wolinski,http://www.rfi.fr/emission/20120803-1-culture-buissonniere-georges-wolinski
9a093acaaafc95e7be417c5ef6f06f54de7c417ac8f0f983f4e0ea5293b3e2ac,2025-09-10 10:05:25.986708+00:00,fr,tdg.ch,tdg.ch,2014-01-05,"Xavier Comtesse: HEC Genève, le mauvais choix du Rectorat!",http://tdg.ch/vivre/Xavier-Comtesse-HEC-Geneve-le-mauvais-choix-du-Rectorat-/story/10138289
f1fa1d37f83d8225bdb15ded3d8516e524d70b4cfda3be67e2e5ec0eee6edfe6,2025-09-10 09:46:42.360946+00:00,fr,huffingtonpost.fr,huffingtonpost.fr,2014-01-06,Interdiction de Dieudonné: les solutions à disposition de M. Valls,http://www.huffingtonpost.fr/fabrice-lorvo/interdiction-de-dieudonne_b_4548911.html?utm_hp_ref=france&ir=France
b3b47bc12a505edd8377e54303dbc7e20d30ea23a1096738a48aeef001001804,2025-09-10 09:19:03.169179+00:00,fr,alwihdainfo.com,alwihdainfo.com,2014-01-07,"Dieudonné, et le sol va s’ouvrir sous tes pieds… – Par Jonathan-Simon Sellem",http://www.alwihdainfo.com/Dieudonne-et-le-sol-va-s-ouvrir-sous-tes-pieds-Par-Jonathan-Simon-Sellem_a9366.html
b352c91eed8497fe4dd3b324021e27815ccf91dd10010f955ad45d71cabc49d1,2025-09-10 09:07:06.769087+00:00,fr,sudouest.fr,sudouest.fr,2014-01-07,"L'avocat Richard Malka à propos de Dieudonné : ""on ne peut plus faire l'autruche""",http://www.sudouest.fr/2014/01/07/l-avocat-richard-malka-a-propos-de-dieudonne-on-ne-peut-plus-faire-l-autruche-1421892-4697.php#xtor=RSS-10521769
fdae28453549d0eac63e4a9409a1cc345fb2c409f4b5e184fda0687b21b41262,2025-09-10 08:52:07.282130+00:00,fr,al-kanz.org,al-kanz.org,2014-01-06,"déjà en 2004, Abdelhaq, musulman, ne soutenait pas le comique",http://www.al-kanz.org/2014/01/06/dieudonne-2004/
b37830027090eefb22329a7a8d707aaad00fcd4431b4735b5e13feabc4b45c79,2025-09-10 08:30:21.733245+00:00,fr,lexpress.fr,lexpress.fr,2014-01-08,Alain Soral utilise Superdupont sans l'accord de Fluide Glacial,http://www.lexpress.fr/culture/livre/alain-soral-utilise-superdupont-sans-l-accord-de-fluide-glacial_1312123.html
8b725f30c70a2137b08a4906b4c66a585e07c02d70735e03c8e7d88ce5b407fe,2025-09-10 08:27:59.865835+00:00,fr,clicanoo.re,clicanoo.re,2014-01-08,Dieudonné à Nantes: recours en référé contre l’interdiction du spectacle,http://www.clicanoo.re/401162-dieudonne-a-nantes-recours-en-refere-contre-l-interdiction-du-spectacle.html
f8baa80ee21fce0266b6ea197c513d80067908a9c22198a7723e502baa9ebfbe,2025-09-10 08:26:09.105305+00:00,fr,nouvelobs.com,nouvelobs.com,2014-01-08,"Plongée dans une ""Dieudosphère"" en ""résistance""",http://rss.nouvelobs.com/c/32262/f/614987/s/35a33dea/sc/7/l/0Ltempsreel0Bnouvelobs0N0Cvu0Esur0Ele0Eweb0C20A140A10A70BOBS16150Cplongee0Edans0Eune0Edieudosphere0Een0Eresistance0Bhtml0Dxtor0FRSS0E25/story01.htm
081c7ba61cf8410a5e21a8f750bb23479ce5694d328d88d777e9ad382f3d73c1,2025-09-10 08:22:58.700176+00:00,fr,nouvelobs.com,nouvelobs.com,2014-01-08,"Plongée dans une ""Dieudosphère"" en ""résistance""",http://tempsreel.nouvelobs.com/vu-sur-le-web/20140107.OBS1615/plongee-dans-une-dieudosphere-en-resistance.html?xtor=RSS-17
fe9b17cddb79ed58b10c9626b3c59fa81cd2d15a313ee1d957157e27fb014fc7,2025-09-10 07:56:52.914501+00:00,fr,estrepublicain.fr,estrepublicain.fr,2014-01-09,suppositoire au cannabis Ã la prison,http://www.estrepublicain.fr/justice/2014/01/09/suppositoire-au-cannabis-a-la-prison-de-montbeliard
7212f42ef5653f527e6fb520293e0537487829dbeb4c1e563aee2b8b53f1d451,2025-09-10 07:52:26.132944+00:00,fr,estrepublicain.fr,estrepublicain.fr,2014-01-09,Vittel et ContrexÃ©ville gardent leur train,http://www.estrepublicain.fr/actualite/2014/01/09/vittel-et-contrexeville-gardent-leur-train
