publish_date,title,url,media_name
2024-05-15,News & Politics Thread (Part 7),https://www.goldderby.com/topic/news-politics-thread-part-7/page/21/#post-1206456509,goldderby.com
2024-10-02,Is it safe to travel to the Middle East right now? Latest advice,https://www.thetimes.com/travel/advice/middle-east-is-it-safe-to-travel-latest-advice-gk05q2c5l,thetimes.com
2024-10-03,Does Spain have its own anti-missile 'Iron Dome'?,https://www.thelocal.es/20241003/does-spain-have-its-own-anti-missile-iron-dome,thelocal.es
2024-05-01,Freedom of Speech—the new repression of First Amendment rights,https://www.cityweekly.net/news/freedom-of-speechthe-new-repression-of-first-amendment-rights-21445891,cityweekly.net
2024-07-25,J.D. Vance’s Foreign Policy Vision,https://jewishcurrents.org/j-d-vances-foreign-policy-vision,jewishcurrents.org
2024-08-07,The Escalating Regional War,https://jewishcurrents.org/the-escalating-regional-war,jewishcurrents.org
2024-10-26,Israel Strikes Iran: Multiple Attacks and Explosions Shake Tehran,https://www.hngn.com/articles/263502/20241026/israel-strikes-iran-multiple-attacks-explosions-shake-tehran.htm,hngn.com
2024-10-13,Pro-Hamas Group Planning Oct. 7 Celebration in New York City,https://standwithus.com/news/pro-hamas-group-planning-oct-7-celebration-in-new-york-city/,standwithus.com
2024-08-08,Israel says intercepted missile fired from Yemen,https://myrepublica.nagariknetwork.com/news/israel-says-intercepted-missile-fired-from-yemen-37-35.html,nagariknetwork.com
2024-08-08,How the Recent Middle East Conflict is Shaping the Region’s Future,https://myrepublica.nagariknetwork.com/news/how-the-recent-middle-east-conflict-is-shaping-the-regions-future-91-65.html,nagariknetwork.com
2024-08-08,"Iran says no plan for new US nuclear talks, plays down impact of strikes",https://myrepublica.nagariknetwork.com/news/iran-says-no-plan-for-new-us-nuclear-talks-plays-down-impact-of-strikes-24-87.html,nagariknetwork.com
2024-05-21,Trump Declares “Complete and Total Ceasefire” in Iran-Israel War: A Fragile Peace Emerges,https://newsofthesouth.com/trump-declares-complete-and-total-ceasefire-in-iran-israel-war-a-fragile-peace-emerges/,newsofthesouth.com
2024-08-08,Iran launches missile strike on US Al Udeid Air Base in Qatar,https://myrepublica.nagariknetwork.com/news/iran-launches-missile-strike-on-us-al-udeid-air-base-in-qatar-26-72.html,nagariknetwork.com
2024-09-29,Pentagon: Uništili smo iranski nuklearni program; Iran: Odgovorićemo snažno,https://rtcg.me/vijesti/svijet/721709/pentagon-unistili-smo-iranski-nuklearni-program-iran-odgovoricemo-snazno.html,rtcg.me
2024-08-08,What to know about bunker-buster bombs unleashed on Iran's Fordo nuclear facility,https://myrepublica.nagariknetwork.com/news/what-to-know-about-bunker-buster-bombs-unleashed-on-irans-fordo-nuclear-fac-90-97.html,nagariknetwork.com
2024-08-08,"US joins Israel, attacks Iranian nuclear sites",https://myrepublica.nagariknetwork.com/news/us-joins-israel-attacks-iranian-nuclear-sites-11-56.html,nagariknetwork.com
